gameId,playId,week,nflIdDef,defPlayerName,defenseTeam,defPos,nflIdOff,offPlayerName,possessionTeam,offPos,start_time,isTarget,offenseWin
2018090600,75,1,2555383,Jalen Mills,PHI,CB,2495454,Julio Jones,ATL,WR,2018-09-07T01:07:14Z,TRUE,1
2018090600,146,1,2552689,Ronald Darby,PHI,CB,2557034,Marvin Hall,ATL,WR,2018-09-07T01:09:09Z,FALSE,0.6873719096183777
2018090600,146,1,2555383,Jalen Mills,PHI,CB,2560854,Calvin Ridley,ATL,WR,2018-09-07T01:09:09Z,TRUE,0
2018090600,146,1,2557958,Sidney Jones,PHI,CB,2552418,Justin Hardy,ATL,WR,2018-09-07T01:09:09Z,FALSE,0.42281749844551086
2018090600,168,1,2552689,Ronald Darby,PHI,CB,2533040,Mohamed Sanu,ATL,WR,2018-09-07T01:09:50Z,FALSE,0.5066593885421753
2018090600,168,1,2555383,Jalen Mills,PHI,CB,2495454,Julio Jones,ATL,WR,2018-09-07T01:09:50Z,FALSE,0.4782085418701172
2018090600,190,1,2552689,Ronald Darby,PHI,CB,2560854,Calvin Ridley,ATL,WR,2018-09-07T01:10:34Z,FALSE,0.70221710205078125
2018090600,190,1,2557958,Sidney Jones,PHI,CB,2533040,Mohamed Sanu,ATL,WR,2018-09-07T01:10:34Z,FALSE,0.6671133041381836
2018090600,320,1,2539334,Desmond Trufant,ATL,CB,2507763,Mike Wallace,PHI,WR,2018-09-07T01:16:52Z,FALSE,0.3682951331138611
2018090600,320,1,2556445,Brian Poole,ATL,CB,2553502,DeAndre Carter,PHI,WR,2018-09-07T01:16:52Z,FALSE,0.37793511152267456
2018090600,344,1,2539334,Desmond Trufant,ATL,CB,2552600,Nelson Agholor,PHI,WR,2018-09-07T01:17:37Z,FALSE,0.6862964034080505
2018090600,344,1,2539653,Robert Alford,ATL,CB,2507763,Mike Wallace,PHI,WR,2018-09-07T01:17:37Z,FALSE,0.7055997252464294
2018090600,402,1,2552689,Ronald Darby,PHI,CB,2533040,Mohamed Sanu,ATL,WR,2018-09-07T01:21:45Z,TRUE,0
2018090600,402,1,2555383,Jalen Mills,PHI,CB,2495454,Julio Jones,ATL,WR,2018-09-07T01:21:45Z,FALSE,0.4841272234916687
2018090600,492,1,2552689,Ronald Darby,PHI,CB,2495454,Julio Jones,ATL,WR,2018-09-07T01:24:28Z,FALSE,0.5175142288208008
2018090600,636,1,2555383,Jalen Mills,PHI,CB,2495454,Julio Jones,ATL,WR,2018-09-07T01:30:43Z,FALSE,0.3738998770713806
2018090600,752,1,2539334,Desmond Trufant,ATL,CB,2507763,Mike Wallace,PHI,WR,2018-09-07T01:36:49Z,FALSE,0.6650393605232239
2018090600,752,1,2539653,Robert Alford,ATL,CB,2552600,Nelson Agholor,PHI,WR,2018-09-07T01:36:49Z,TRUE,1
